price,area,quan,phuong,latitude,longitude,may_lanh,tu_lanh,gio_tu_do,wc_rieng,ban_cong,co_bep,cho_de_xe,gan_sieu_thi,gan_quan_an,gan_truong_hoc
8379000,36,Quận Tân Bình,Phường 4,10.800957,106.657875,0,0,1,0,1,0,1,1,0,0
8036000,36,Quận Tân Bình,Phường 11,10.789584,106.65215,0,0,1,0,1,0,1,0,0,0
9149000,32.1,Quận Bình Thạnh,Phường 25,10.807515,106.71636,0,0,0,0,1,0,1,0,0,0
9500000,32.1,Quận Bình Thạnh,Phường 25,10.8014965,106.722946,0,0,1,0,1,0,0,0,0,1
8024000,37.3,Quận Tân Phú,Phường Phú Thạnh,10.77604,106.63359,1,0,1,0,1,1,1,0,0,1
7211000,37.3,Quận Tân Phú,Phường Tây Thạnh,10.809595,106.61943,1,0,1,0,1,1,1,0,0,1
5263000,33.4,Quận Gò Vấp,Phường 12,10.837349,106.636284,0,0,1,0,1,0,0,0,0,0
8070000,36,Quận Tân Bình,Phường 13,10.804606,106.63871,1,1,1,0,0,1,1,0,0,0
7785000,37.3,Quận Tân Phú,Phường Tân Quý,10.789263,106.62116,1,0,1,0,1,1,1,0,0,1
5132000,33.4,Quận Gò Vấp,Phường 5,10.82634,106.692505,1,1,1,0,0,1,0,0,0,1
11881000,34.7,Quận Phú Nhuận,Phường 9,10.799616,106.67492,1,1,1,1,0,1,1,0,0,0
5117000,33.4,Quận Gò Vấp,Phường 12,10.832696,106.63855,1,0,1,0,0,1,0,0,0,0
5242000,33.4,Quận Gò Vấp,Phường 12,10.836361,106.6459,1,1,0,0,1,1,1,0,0,0
5028000,30.9,Quận Bình Tân,Phường Bình Trị Đông,10.776182,106.61098,0,0,1,0,0,1,0,0,0,0
3500000,27,Quận 10,Phường 15,10.7806425,106.66726,1,0,1,1,1,1,0,0,0,1
5338000,33.4,Quận Gò Vấp,Phường 8,10.84255,106.65591,0,0,1,0,1,0,0,0,0,0
7941000,36,Quận Tân Bình,Phường 13,10.801824,106.64747,0,0,1,1,1,1,0,0,0,0
8396000,45,Thành phố Thủ Đức,Phường Cát Lái,10.773141,106.77104,0,0,1,0,1,0,1,0,0,0
9106000,36,Quận Tân Bình,Phường 14,10.791047,106.6422,1,1,1,0,0,1,1,0,0,0
9048000,32.1,Quận Bình Thạnh,Phường 26,10.80783,106.70933,1,0,1,0,1,1,1,0,1,1
4372000,29.6,Quận 12,Phường An Phú Đông,10.831359,106.69259,1,0,1,0,0,1,1,0,0,0
5538000,23.1,Quận 7,Phường Bình Thuận,10.741705,106.72976,1,0,1,0,0,1,0,0,0,0
6298000,23.1,Quận 7,Phường Bình Thuận,10.737616,106.73026,0,1,1,0,1,1,0,1,0,1
9073000,36,Quận Tân Bình,Phường 14,10.792667,106.64314,0,0,1,1,1,0,1,0,0,1
9261000,36,Quận Tân Bình,Phường 2,10.813324,106.665085,1,0,1,0,1,0,1,0,0,0
5473000,33.4,Quận Gò Vấp,Phường 8,10.842612,106.64269,0,0,1,1,1,1,0,1,0,1
4417000,24.4,Quận 8,Phường 5,10.734252,106.66085,0,0,1,0,1,0,0,0,0,0
8637000,45,Thành phố Thủ Đức,Phường Trường Thọ,10.843751,106.75777,1,0,1,0,1,0,0,0,0,0
8655000,45,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,10.825091,106.71512,1,0,1,1,1,1,1,0,0,1
5420000,33.4,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,0,1,0,1,0,0,1,0,1
12206000,34.7,Quận Phú Nhuận,Phường 2,10.797344,106.68735,1,1,0,0,1,1,0,0,1,0
10964000,34.7,Quận Phú Nhuận,Phường 9,10.809619,106.67783,1,0,1,0,1,0,0,0,0,0
10078000,34.7,Quận Phú Nhuận,Phường 10,10.792779,106.67033,1,0,0,0,0,0,1,0,0,0
6965000,37.3,Quận Tân Phú,Phường Tây Thạnh,10.809595,106.61943,1,1,1,0,1,1,1,0,1,0
8726000,36,Quận Tân Bình,Phường 13,10.799949,106.64451,0,0,1,0,1,0,0,1,0,0
5395000,33.4,Quận Gò Vấp,Phường 12,10.848225,106.648125,1,1,1,1,1,1,0,0,0,0
4309000,29.6,Quận 12,Phường Thạnh Xuân,10.8834305,106.670395,1,0,0,0,1,1,1,0,0,0
7641000,45,Thành phố Thủ Đức,Phường Long Trường,10.822844,106.80533,1,0,1,1,1,1,0,1,0,1
4836000,33.4,Quận Gò Vấp,Phường 3,10.820384,106.67438,0,0,1,0,1,0,0,1,0,1
4500000,27,Quận 10,Phường 14,10.7777195,106.656166,0,0,1,1,1,1,0,0,0,0
11838000,34.7,Quận Phú Nhuận,Phường 4,10.808282,106.67847,1,1,1,0,0,1,1,0,0,0
4629000,33.4,Quận Gò Vấp,Phường 14,10.856016,106.65122,1,1,0,0,1,1,0,0,0,1
8309000,45,Thành phố Thủ Đức,Phường Phước Long B,10.834972,106.766556,1,1,1,1,0,1,1,0,0,1
6549000,18,Quận 3,Phường 14,10.78832,106.67981,0,0,1,0,1,0,1,0,0,1
4772000,33.4,Quận Gò Vấp,Phường 3,10.820384,106.67438,0,0,1,0,0,1,0,0,0,0
10212000,34.7,Quận Phú Nhuận,Phường 9,10.799616,106.67492,1,1,1,1,0,1,0,0,0,1
4102000,29.6,Quận 12,Phường An Phú Đông,10.831359,106.69259,1,0,0,0,0,1,0,0,0,0
7388000,45,Thành phố Thủ Đức,Phường Trường Thọ,10.840909,106.7634,1,0,0,0,1,1,0,0,0,0
3755000,24.4,Quận 8,Phường 7,10.710696,106.62515,1,0,1,1,1,1,0,0,0,1
4662000,33.4,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,0,1,0,0,0,0,0,0,0
3830000,24.4,Quận 8,Phường 4,10.74274,106.677765,1,0,0,0,1,0,0,0,0,0
4625000,33.4,Quận Gò Vấp,Phường 8,10.842244,106.65124,1,1,1,0,0,0,0,0,0,1
3930000,21.9,Quận 6,Phường 11,10.74148,106.633766,0,0,1,1,1,1,1,0,0,0
9538000,32.1,Quận Bình Thạnh,Phường 25,10.810227,106.71722,0,0,0,0,1,0,1,0,0,0
7781000,36,Quận Tân Bình,Phường 2,10.812272,106.66626,1,0,1,0,1,0,1,0,0,0
4901000,33.4,Quận Gò Vấp,Phường 10,10.833726,106.66952,0,0,1,0,0,0,1,0,0,0
8886000,36,Quận Tân Bình,Phường 13,10.803694,106.63586,1,1,0,0,1,1,0,0,0,0
9230000,36,Quận Tân Bình,Phường 4,10.805005,106.66431,0,0,1,0,1,0,0,0,0,0
6766000,18,Quận 3,Phường 3,10.769345,106.67827,1,1,0,0,1,0,0,0,0,0
4693000,29.6,Quận 12,Phường Trung Mỹ Tây,10.853655,106.60974,1,1,0,0,1,1,0,0,0,1
7687000,45,Thành phố Thủ Đức,Phường Linh Chiểu,10.851083,106.757866,1,0,1,0,1,1,0,0,0,1
7992000,37.3,Quận Tân Phú,Phường Tây Thạnh,10.809365,106.61493,0,0,1,0,1,0,0,0,0,1
5411000,33.4,Quận Gò Vấp,Phường 9,10.810502,106.67849,0,0,1,0,1,0,0,0,0,0
